127.0.0.1 - - [11/Apr/2023:10:03:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:04:12 +0900] "GET /miniproject/ HTTP/1.1" 500 8206
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:05:12 +0900] "GET /miniproject/ HTTP/1.1" 500 27743
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:05:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/ HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/js/weValidCheck.js HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/css/indexStyle.css HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/js/WebSite_jQuery.js HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/js/loginCheck.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/css/loginStyle.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/css/homeStyle.css HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/img/car.jpg HTTP/1.1" 200 1958171
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/img/city.jpg HTTP/1.1" 200 3459455
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:30 +0900] "GET /miniproject/resources/css/font1.TTF HTTP/1.1" 200 1015428
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:39 +0900] "GET /miniproject/index.do HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "POST /miniproject/member.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "GET /miniproject/ HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "GET /miniproject/resources/img/menu.png HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "GET /miniproject/resources/css/logoutStyle.css HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:49 +0900] "GET /miniproject/resources/img/search.png HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:52 +0900] "GET /miniproject/sns.go HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:52 +0900] "GET /miniproject/resources/css/snsStyle.css HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:52 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:52 +0900] "GET /miniproject/resources/js/sns.js HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:52 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:58 +0900] "GET /miniproject/dataroom.go HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:58 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:58 +0900] "GET /miniproject/resources/css/dataRoom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:08:58 +0900] "GET /miniproject/resources/js/FileCheack.js HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:02 +0900] "GET /miniproject/dataroom.go?p=2 HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:02 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:03 +0900] "GET /miniproject/dataroom.go?p=1 HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:03 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:05 +0900] "GET /miniproject/sns.go HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:05 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:09:05 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:20 +0900] "GET /miniproject/ HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:20 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:52 +0900] "GET /miniproject/click.info HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:52 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:52 +0900] "GET /miniproject/resources/css/infoStyle.css HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:52 +0900] "GET /miniproject/resources/js/infoCheck.js HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:10:52 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:07 +0900] "GET /miniproject/click.info HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:07 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:07 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:24 +0900] "POST /miniproject/member.info.change HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:24 +0900] "GET /miniproject/ HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:24 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:32 +0900] "GET /miniproject/index.do HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:32 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:39 +0900] "GET /miniproject/click.info HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:39 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:39 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:43 +0900] "GET /miniproject/index.do HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:10:11:43 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:15:37 +0900] "GET /miniproject/index.do HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:07 +0900] "POST /miniproject/member.login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:07 +0900] "GET /miniproject/ HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:07 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:09 +0900] "GET /miniproject/click.info HTTP/1.1" 200 2968
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:09 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:09 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:20 +0900] "POST /miniproject/member.info.change HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:20 +0900] "GET /miniproject/ HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:20 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:23 +0900] "GET /miniproject/sns.go HTTP/1.1" 200 9309
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:23 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:23 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:28 +0900] "GET /miniproject/sns.comment?commentToken=112523&bsc_bs_no=14&bsc_writer=dnltjdrn&bsc_txt=dfd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:28 +0900] "GET /miniproject/sns.go HTTP/1.1" 200 9723
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:28 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:30 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:36 +0900] "GET /miniproject/dataroom.go HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:36 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:39 +0900] "GET /miniproject/data.download?file=perPoint1.txt HTTP/1.1" 500 3686
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:46 +0900] "GET /miniproject/dataroom.go?p=2 HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:46 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:50 +0900] "GET /miniproject/index.do HTTP/1.1" 200 1967
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:50 +0900] "GET /miniproject/resources/img/3d.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:52 +0900] "GET /miniproject/click.logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:11:25:52 +0900] "GET /miniproject/ HTTP/1.1" 200 1666
